Delete_Lag,Correlation
1,0.869738300796788
2,0.7826090176896893
3,0.7017688831927171
4,0.6236632905019077
5,0.5620658145712543
6,0.49689788341549457
7,0.44112550484767954
8,0.4003847371910248
9,0.3534986776491997
10,0.31248152947836
11,0.27350605790133375
12,0.2459605607278047
13,0.21424008971539288
14,0.18345589150088834
15,0.15306339709464908
16,0.13013867661501274
17,0.11247768877050546
18,0.09871750753253344
19,0.0870753503937781
20,0.073861744941347
21,0.06392430438370686
22,0.06414531080023454
23,0.06180229315664628
24,0.06640331376362614
25,0.07647339283424459
26,0.0874275886920182
27,0.10616633903324227
28,0.11423144520587687
29,0.12388029159259571
30,0.12797553779762566
31,0.12546343676440525
32,0.12367530493182842
33,0.13024662038584597
34,0.12461548791457254
35,0.12085204592517079
36,0.11127038211724835
37,0.10274808014021906
38,0.10167267978557787
39,0.10624408836919041
40,0.09819174590901418
41,0.10185874878948199
42,0.09772004344673997
43,0.09797841716890382
44,0.09551508993728619
45,0.08768239634184083
46,0.07977461686611072
47,0.07768764165025628
48,0.0754826647803707
49,0.07917939968409422
50,0.07725432903878622
51,0.07559432806152759
52,0.08890766708004537
53,0.08343316766165693
54,0.08278713768794228
55,0.08169008576211473
56,0.07780720787384643
57,0.06912723487415556
58,0.05355147897458606
59,0.04137533663375014
60,0.02943438973889399
61,0.020082435493662145
62,0.006481048043477317
63,0.00472491523841093
64,0.006339047695183418
65,0.007151402121839721
66,0.01545656804152428
67,0.013228653080292923
68,0.00914978768339995
69,0.009970188899770327
70,-0.0012838871941039504
71,-0.014262364843379123
72,-0.019756330479536455
73,-0.024838981032239856
74,-0.02208018590839931
75,-0.02084332782505536
76,-0.022199836646656947
77,-0.026809580585182485
78,-0.030921377743165904
79,-0.040396965071293554
80,-0.053647300847547
81,-0.052929015791359627
82,-0.054360261188623415
83,-0.05570067977065117
84,-0.0569257332474772
85,-0.05686162124529815
86,-0.05630144383250016
87,-0.057745609198284725
88,-0.05299351795379951
89,-0.05326970651801998
90,-0.05637885747491372
91,-0.05614303409456248
92,-0.06302817296341993
93,-0.05429358211914018
94,-0.04595585308561833
95,-0.042005992994948484
96,-0.03282019167304621
97,-0.02660343245946124
98,-0.021719947372094026
99,-0.00663477450052926
100,-0.007248692897966553
101,3.911074714553816E-4
102,0.00964159024843326
103,0.014035655506641286
104,0.024222766080296138
105,0.028821062158549033
106,0.026279142278817887
107,0.03344458271891102
108,0.03358704938696126
109,0.033926380368982406
110,0.03223507105451892
111,0.023796059159559
112,0.014476673532702046
113,0.015536375749563387
114,0.01217013577010515
115,0.016771401014871793
116,0.016530215965459352
117,0.01668246373168278
118,0.00814934556846483
119,0.009013057653330337
120,0.004635708256227878
121,-0.0015037446619077441
122,-0.007721100082927814
123,-0.011933284792975278
124,-0.013272133695671604
125,-0.018409600801796426
126,-0.024447766049707286
127,-0.021506723704565966
128,-0.021747177364020397
129,-0.023119366987703692
130,-0.025641935218704687
131,-0.02382476017795647
132,-0.01926051451591171
133,-0.007756388714706872
134,0.005146056463313685
135,0.01654059179459478
136,0.02882362398706404
137,0.04028790197706375
138,0.05788281632342492
139,0.0648786501866875
140,0.06611995406578386
141,0.07456108260966265
142,0.073946215556332
143,0.06896725452766744
144,0.06285284963144858
145,0.052066924221460316
146,0.051856040128727736
147,0.05302447671872682
148,0.05790684779489918
149,0.06475196168637169
150,0.059839799478543516
151,0.04838422759007441
152,0.03032497272236282
153,0.015311855813784725
154,1.8910181965871745E-4
155,-0.013258477101948432
156,-0.020183042313720236
157,-0.02992190938632928
158,-0.03795100269254357
159,-0.044112462245478753
160,-0.038602730523671476
161,-0.03642094053853214
162,-0.026406031866585362
163,-0.016588571069746247
164,-0.018724705653484594
165,-0.015899172647716602
166,-0.004731629230265846
167,0.004769832332284425
168,0.021440610152559186
169,0.029012711282869537
170,0.033052356191078235
171,0.03608761404522077
172,0.03595777219096089
173,0.037183782245887975
174,0.042245264860762015
175,0.0479299340041157
176,0.05321715207088761
177,0.054839214572636644
178,0.05187868642545199
179,0.048351880640689515
180,0.049913986563040635
181,0.04702882655165789
182,0.04640729488453372
183,0.04926700899952261
184,0.04387448589253729
185,0.0449454827727615
186,0.041212436524952274
187,0.037780533921429
188,0.028440010039912512
189,0.025468934876582534
190,0.028238932166057756
191,0.025567851614066186
192,0.028184987869041948
193,0.031005666629825835
194,0.026390130857921124
195,0.02475878368093235
196,0.011605696103871683
197,0.0026178131121631755
198,-2.1009768305301038E-4
199,-0.005880692045759994
200,-0.013503413595435167
201,-0.015582794768465878
202,-0.01541769430944894
203,-0.021152982233790356
204,-0.02273238625940347
205,-0.015206128903658835
206,-0.011898013361779316
207,-0.012350638749315064
208,-0.011111144559545942
209,-0.01420218749023153
210,-0.01838436874815849
211,-0.028466141027480234
212,-0.036286293318254115
213,-0.04677985617721466
214,-0.04331258466611804
215,-0.04204882015929988
216,-0.039554618668618584
217,-0.032751748621680156
218,-0.03721826383123172
219,-0.04043727045485518
220,-0.040333175037764964
221,-0.03973024193109247
222,-0.0477855610093528
223,-0.04885118700445788
224,-0.04800681141397229
225,-0.05304767124947144
226,-0.05583692080269828
227,-0.062108213265912246
228,-0.06569053201943562
229,-0.06995402725637061
230,-0.07526258366099076
