Mean,Count,Service Time
1.2,1,0.009313106536865234
1.2,2,0.0025861263275146484
1.2,3,0.01636791229248047
1.2,4,0.016458988189697266
1.2,5,0.019674062728881836
1.2,6,0.02786707878112793
1.2,7,0.0666038990020752
1.2,8,0.07140088081359863
1.2,9,0.09489202499389648
1.2,10,0.1530468463897705
1.2,11,0.022045135498046875
1.2,12,0.020183086395263672
1.2,13,0.06786608695983887
1.2,14,0.06321215629577637
1.2,15,0.05474400520324707
1.2,16,0.15806794166564941
1.2,17,0.08039402961730957
1.2,18,0.10993790626525879
1.2,19,0.1248781681060791
1.2,20,0.19801712036132812
1.2,21,0.05643010139465332
1.2,22,0.14526009559631348
1.2,23,0.06099104881286621
1.2,24,0.04530811309814453
1.2,25,0.06644201278686523
1.2,26,0.09435009956359863
1.2,27,0.06502294540405273
1.2,28,0.17394685745239258
1.2,29,0.01645207405090332
1.2,30,0.20548105239868164
1.2,31,0.12917494773864746
1.2,32,0.06697893142700195
1.2,33,0.07278108596801758
1.2,34,0.48044896125793457
1.2,35,0.2720458507537842
1.2,36,0.1604020595550537
1.2,37,0.12244200706481934
1.2,38,0.49485301971435547
1.2,39,0.4754750728607178
1.2,40,0.05019092559814453
1.2,41,0.2687561511993408
1.2,42,0.04310798645019531
1.2,43,0.21125006675720215
1.2,44,0.04414486885070801
1.2,45,0.334881067276001
1.2,46,0.024615049362182617
1.2,47,0.0917670726776123
1.2,48,0.040426015853881836
1.2,49,0.02144908905029297
1.2,50,0.18410110473632812
1.2,51,0.05122184753417969
1.2,52,0.2969479560852051
1.2,53,0.09874510765075684
1.2,54,0.031308889389038086
1.2,55,0.06787109375
1.2,56,0.2161269187927246
1.2,57,0.03475594520568848
1.2,58,0.03168201446533203
1.2,59,0.17018699645996094
1.2,60,0.0986020565032959
1.2,61,0.12227296829223633
1.2,62,0.04042196273803711
1.2,63,0.1479179859161377
1.2,64,0.20866703987121582
1.2,65,0.21610808372497559
1.2,66,0.03547215461730957
1.2,67,0.14711999893188477
1.2,68,0.0473170280456543
1.2,69,0.06785702705383301
1.2,70,0.057772159576416016
1.2,71,0.11606311798095703
1.2,72,0.023788928985595703
1.2,73,0.1515049934387207
1.2,74,0.3359990119934082
1.2,75,0.143510103225708
1.2,76,0.017719030380249023
1.2,77,0.02524089813232422
1.2,78,0.20622801780700684
1.2,79,0.0464930534362793
1.2,80,0.03260517120361328
1.2,81,0.11608099937438965
1.2,82,0.2893359661102295
1.2,83,0.21071505546569824
1.2,84,0.10432195663452148
1.2,85,0.11767005920410156
1.2,86,0.0873560905456543
1.2,87,0.3593099117279053
1.2,88,0.07233500480651855
1.2,89,0.035444021224975586
1.2,90,0.15923810005187988
1.2,91,0.1136620044708252
1.2,92,0.04472780227661133
1.2,93,0.025032997131347656
1.2,94,0.12073802947998047
1.2,95,0.0792849063873291
1.2,96,0.09905600547790527
1.2,97,0.03867506980895996
1.2,98,0.09344696998596191
1.2,99,0.20198798179626465
1.2,100,0.11757898330688477
1.2,101,0.0843038558959961
1.2,102,0.004953145980834961
1.2,103,0.12135910987854004
1.2,104,0.1106569766998291
1.2,105,0.006733894348144531
1.2,106,0.07076907157897949
1.2,107,0.008424997329711914
1.2,108,0.03873491287231445
1.2,109,0.024250030517578125
1.2,110,0.040926218032836914
1.2,111,0.09883689880371094
1.2,112,0.05972099304199219
1.2,113,0.032594919204711914
1.2,114,0.012221097946166992
1.2,115,0.0963430404663086
